Id_Customer;Y;Customer_Type;BirthDate;Customer_Open_Date;P_Client;Educational_Level;Marital_Status;Number_Of_Dependant;Years_At_Residence;Net_Annual_Income;Years_At_Business;Prod_Sub_Category;Prod_Decision_Date;Source;Type_Of_Residence;Nb_Of_Products;Prod_Closed_Date;Prod_Category;;;
7388;0;Non Existing Client;16/10/1960;09/02/2012;NP_Client;University;Married;4;1;36;1;C;15/02/2012;Sales;Owned;1;;B;;;
592;0;Existing Client;01/01/1981;30/03/2009;NP_Client;University;Single;0;1;18;1;C;24/05/2011;Sales;Owned;1;05/09/2012;B;;;
4206;0;Non Existing Client;06/08/1964;16/10/2011;NP_Client;University;Married;0;1;36;1;C;17/10/2011;Branch;Owned;1;03/06/2012;B;;;
5562;0;Non Existing Client;16/08/1978;05/12/2011;NP_Client;University;Married;5;20;18;2;C;06/12/2011;Sales;Owned;1;;B;;;
5919;0;Existing Client;23/10/1962;09/06/2003;NP_Client;University;Married;2;2;25;1;C;11/12/2011;Sales;Owned;1;29/08/2012;B;;;
1146;0;Existing Client;27/07/1963;28/02/1985;NP_Client;Master/PhD;Married;2;20;50;20;C;18/06/2011;Sales;Owned;1;;B;;;
6376;0;Non Existing Client;18/02/1984;02/01/2012;NP_Client;University;Married;0;15;30;1;C;04/01/2012;Sales;Owned;1;;B;;;
2017;0;Existing Client;25/06/1984;27/05/2010;NP_Client;Master/PhD;Married;1;9;20;1;C;11/08/2011;Sales;Owned;1;;C;;;
3710;0;Existing Client;11/06/1975;26/04/2009;P_Client;Master/PhD;Married;0;21;39,396;6;C;16/10/2011;Branch;Owned;1;;G;;;
9407;0;Non Existing Client;17/05/1956;17/04/2012;NP_Client;University;Married;0;1;36;;C;18/04/2012;Sales;Owned;1;;D;;;
1163;0;Existing Client;10/11/1951;01/07/2005;NP_Client;University;Married;0;15;30;1;C;20/06/2011;Branch;Owned;2;18/03/2012;B;;;
8855;0;Existing Client;15/06/1957;20/08/2007;NP_Client;University;Married;2;20;50;20;C;24/04/2012;Sales;Owned;1;;B;;;
1842;0;Existing Client;09/02/1952;09/06/2005;P_Client;University;Married;0;15;30;1;C;23/08/2011;Sales;Owned;2;22/11/2012;B;;;
7635;0;Non Existing Client;28/10/1979;21/02/2012;NP_Client;University;Married;2;6;25;1;C;22/02/2012;Sales;Owned;1;;B;;;
4349;0;Non Existing Client;05/09/1957;17/10/2011;NP_Client;University;Married;2;1;36;1;C;21/10/2011;Sales;Owned;1;;B;;;
5749;0;Non Existing Client;29/09/1957;12/12/2011;NP_Client;University;Married;0;20;18;2;C;14/12/2011;Sales;Owned;1;;B;;;
5412;1;Non Existing Client;17/08/1988;29/11/2011;NP_Client;University;Married;0;10;36;10;C;30/11/2011;Sales;Owned;1;28/02/2013;B;;;
2304;0;Non Existing Client;15/06/1982;02/08/2011;NP_Client;University;Married;0;22;33,876;2;C;09/08/2011;Sales;Owned;1;;G;;;
4842;0;Non Existing Client;27/11/1975;02/11/2011;NP_Client;University;Married;0;15;30;1;C;15/11/2011;Branch;Owned;1;03/06/2012;B;;;
5782;0;Non Existing Client;10/10/1976;14/12/2011;NP_Client;University;Married;1;10;36;3;C;19/12/2011;Sales;Owned;1;;B;;;
9358;0;Non Existing Client;15/07/1984;11/04/2012;NP_Client;University;Married;1;1;36;1;C;12/04/2012;Sales;Owned;1;;D;;;
7745;0;Existing Client;03/06/1949;04/08/1997;NP_Client;University;Single;0;1;36;1;C;22/02/2012;Sales;Owned;1;;B;;;
9124;0;Existing Client;04/02/1976;01/04/2012;NP_Client;Master/PhD;Married;2;8;18;6;G;08/04/2012;Sales;Owned;1;;C;;;
6696;0;Non Existing Client;14/11/1961;03/01/2012;NP_Client;University;Married;0;1;25;1;C;18/01/2012;Sales;Owned;1;;B;;;
6446;0;Non Existing Client;04/01/1990;05/01/2012;NP_Client;University;Single;0;1;36;1;C;09/01/2012;Sales;Owned;1;;B;;;
2077;0;Existing Client;16/03/1984;20/12/2010;NP_Client;University;Single;0;10;36;1;G;01/08/2011;Sales;Owned;2;24/02/2013;C;;;
3854;0;Non Existing Client;22/02/1970;12/09/2011;NP_Client;University;Married;0;10;36;10;C;13/09/2011;Sales;Owned;1;;B;;;
8300;0;Non Existing Client;11/03/1984;06/03/2012;NP_Client;University;Married;0;15;36;1;C;07/03/2012;Sales;Owned;2;;B;;;
8253;0;Non Existing Client;23/09/1986;04/03/2012;NP_Client;University;Single;0;22;180;2;C;05/03/2012;Sales;Owned;1;;D;;;
3265;0;Non Existing Client;26/01/1960;12/09/2011;NP_Client;Master/PhD;Married;1;15;18;2;G;18/09/2011;Sales;Owned;1;;C;;;
7550;0;Non Existing Client;01/01/1950;08/02/2012;NP_Client;University;Married;3;50;25;1;C;19/02/2012;Sales;Owned;1;;B;;;
2142;0;Existing Client;19/04/1983;12/06/2011;NP_Client;University;Single;0;15;30;1;G;14/08/2011;Sales;Owned;1;14/04/2013;C;;;
4158;0;Non Existing Client;15/06/1950;13/10/2011;NP_Client;University;Married;0;15;18;2;C;16/10/2011;Sales;Old rent;1;;B;;;
5686;0;Non Existing Client;15/01/1985;06/12/2011;NP_Client;University;Single;0;10;55,2;3;C;13/12/2011;Sales;Owned;1;;K;;;
145;0;Existing Client;17/07/1967;11/01/2011;P_Client;University;Married;2;43;38,8;4;G;26/05/2011;Branch;Parents;1;;G;;;
1321;0;Existing Client;01/10/1981;19/01/2011;NP_Client;Master/PhD;Married;0;3;50;1;C;27/07/2011;Sales;Owned;1;;C;;;
5781;0;Non Existing Client;15/08/1983;12/12/2011;NP_Client;University;Married;1;2;36;2;C;20/12/2011;Sales;Owned;1;;B;;;
3998;0;Non Existing Client;03/08/1971;03/10/2011;NP_Client;University;Married;0;35;20;1;C;04/10/2011;Sales;Old rent;1;;B;;;
8321;0;Non Existing Client;19/01/1987;22/03/2012;NP_Client;University;Married;0;22;18;2;C;26/03/2012;Sales;Owned;1;;D;;;
1973;0;Existing Client;05/10/1963;31/05/2009;NP_Client;University;Married;0;15;20;1;C;09/08/2011;Sales;Owned;1;;D;;;
574;0;Existing Client;24/05/1965;10/02/2009;P_Client;University;Married;0;1;36;4;C;20/06/2011;Sales;Owned;1;06/02/2013;G;;;
4141;0;Non Existing Client;19/02/1966;17/10/2011;NP_Client;University;Married;0;15;30;1;C;18/10/2011;Sales;Owned;1;;B;;;
2173;0;Existing Client;08/12/1947;11/07/2011;NP_Client;University;Married;4;40;20;1;C;24/08/2011;Sales;Owned;1;;B;;;
2643;1;Non Existing Client;29/05/1950;15/08/2011;NP_Client;University;Divorced;3;5;36;5;C;24/08/2011;Sales;Owned;1;31/12/2012;D;;;
7171;1;Existing Client;08/02/1988;19/01/2012;NP_Client;University;Single;0;20;45,6;2;C;15/02/2012;Sales;Owned;1;14/04/2013;L;;;
8455;0;Non Existing Client;10/01/1951;13/03/2012;NP_Client;University;Married;0;10;18;2;C;14/03/2012;Sales;Owned;1;;B;;;
8422;0;Non Existing Client;08/09/1959;11/03/2012;NP_Client;University;Widowed;2;20;36;20;C;13/03/2012;Sales;Owned;1;;B;;;
6769;0;Non Existing Client;17/07/1964;19/01/2012;NP_Client;Diploma;Married;3;3;200;6;C;22/01/2012;Branch;Owned;1;;D;;;
3520;0;Non Existing Client;23/09/1965;26/09/2011;NP_Client;University;Married;0;15;50;1;C;27/09/2011;Sales;Owned;1;;B;;;
14;0;Existing Client;17/12/1963;08/11/2005;NP_Client;University;Married;0;20;18;1;C;18/05/2011;Sales;Owned;1;;B;;;
6149;0;Existing Client;23/07/1961;30/10/2011;NP_Client;University;Married;0;10;36;3;C;16/01/2012;Sales;Owned;1;13/05/2013;B;;;
5940;0;Existing Client;14/03/1970;01/07/2005;NP_Client;University;Married;3;10;36;3;C;04/12/2011;Sales;Owned;1;;B;;;
366;0;Non Existing Client;23/11/1989;17/05/2011;NP_Client;University;Single;0;21;18;1;C;18/05/2011;Sales;Owned;1;;B;;;
1399;0;Non Existing Client;04/07/1970;03/07/2011;NP_Client;University;Married;2;10;18;2;C;05/07/2011;Sales;Owned;1;;D;;;
823;0;Non Existing Client;20/11/1982;07/06/2011;NP_Client;University;Married;0;1;36;1;C;08/06/2011;Sales;Owned;1;;B;;;
3844;0;Existing Client;08/03/1975;23/08/2011;NP_Client;University;Married;0;30;18;30;C;03/10/2011;Sales;Parents;1;;D;;;
572;0;Existing Client;03/03/1956;01/02/2009;NP_Client;University;Married;0;1;18;1;C;22/06/2011;Sales;Owned;1;;B;;;
7753;0;Non Existing Client;20/02/1964;20/02/2012;NP_Client;University;Married;0;10;36;5;G;27/02/2012;Branch;Owned;1;;B;;;
4854;0;Non Existing Client;26/11/1982;03/11/2011;NP_Client;University;Single;0;15;30;1;C;09/11/2011;Sales;Owned;1;;D;;;
7950;0;Existing Client;20/03/1969;23/03/2010;NP_Client;University;Married;2;10;36;5;C;22/03/2012;Sales;Owned;1;;D;;;
334;1;Non Existing Client;17/03/1969;15/05/2011;NP_Client;University;Married;4;13;18;1;C;16/05/2011;Sales;Owned;1;02/08/2012;B;;;
2294;1;Existing Client;19/11/1978;03/08/2011;NP_Client;University;Married;0;15;66;1;C;14/08/2011;Sales;Owned;1;29/11/2012;L;;;
7401;0;Non Existing Client;16/11/1982;09/02/2012;NP_Client;University;Single;0;10;36;1;C;15/02/2012;Sales;Owned;1;;B;;;
9230;0;Non Existing Client;10/06/1977;07/03/2012;NP_Client;University;Married;1;10;50;10;G;05/04/2012;Sales;Owned;1;;C;;;
9518;0;Non Existing Client;28/02/1991;17/04/2012;NP_Client;University;Single;0;21;18;1;C;24/04/2012;Sales;Owned;1;;B;;;
1045;0;Non Existing Client;01/03/1985;21/06/2011;NP_Client;University;Married;2;15;30;1;C;22/06/2011;Sales;Owned;1;19/09/2012;B;;;
5824;0;Non Existing Client;15/08/1982;14/12/2011;NP_Client;University;Married;0;10;36;3;C;21/12/2011;Sales;Owned;1;;C;;;
2667;0;Non Existing Client;14/01/1975;11/08/2011;NP_Client;University;Married;0;10;36;10;C;25/08/2011;Sales;Owned;1;;B;;;
8508;0;Non Existing Client;29/03/1974;25/03/2012;NP_Client;University;Married;0;5;18;2;C;25/03/2012;Sales;Owned;1;;K;;;
6808;0;Non Existing Client;20/03/1977;25/12/2011;NP_Client;University;Married;2;1;36;1;G;23/01/2012;Sales;Owned;1;;C;;;
4759;0;Non Existing Client;28/09/1971;27/10/2011;NP_Client;University;Married;0;15;30;1;C;31/10/2011;Sales;Owned;1;;B;;;
6253;0;Non Existing Client;29/11/1947;27/12/2011;NP_Client;University;Married;0;17;25;1;C;02/01/2012;Sales;Owned;1;;D;;;
2420;0;Non Existing Client;08/05/1989;07/08/2011;NP_Client;Diploma;Married;1;10;20;1;C;11/08/2011;Sales;Parents;1;;B;;;
625;0;Existing Client;27/10/1977;01/03/2010;NP_Client;University;Married;2;2;38,4;8;C;05/06/2011;Sales;Owned;1;;L;;;
6490;0;Non Existing Client;24/01/1979;05/01/2012;NP_Client;University;Married;0;22;18;22;C;10/01/2012;Sales;Owned;1;;B;;;
5264;0;Existing Client;23/05/1965;26/01/2011;P_Client;University;Married;3;23;50,028;10;G;28/12/2011;Branch;Owned;1;;H;;;
4080;0;Non Existing Client;24/12/1968;23/10/2011;NP_Client;University;Married;0;1;20;1;C;23/10/2011;Sales;Owned;1;;B;;;
3203;0;Non Existing Client;12/04/1968;11/09/2011;NP_Client;University;Married;4;25;18;8;C;13/09/2011;Sales;Owned;1;;B;;;
3380;0;Non Existing Client;15/11/1959;19/09/2011;NP_Client;University;Married;0;12;20;1;C;20/09/2011;Sales;Owned;1;;B;;;
1010;0;Non Existing Client;13/02/1979;19/06/2011;NP_Client;University;Married;0;2;36;1;C;21/06/2011;Sales;New rent;1;;B;;;
40;1;Existing Client;13/01/1964;17/06/2007;NP_Client;University;Married;3;12;18;2;C;05/05/2011;Sales;Owned;1;31/01/2012;B;;;
722;0;Non Existing Client;11/10/1978;24/05/2011;NP_Client;University;Single;0;1;18;2;C;31/05/2011;Sales;Owned;1;;B;;;
2545;0;Non Existing Client;10/02/1963;11/08/2011;NP_Client;University;Married;3;10;36;1;C;21/08/2011;Sales;Owned;1;;B;;;
9076;0;Non Existing Client;16/08/1963;26/03/2012;NP_Client;University;Married;2;10;36;1;C;28/03/2012;Sales;Owned;1;;B;;;
4638;0;Existing Client;23/05/1966;26/12/2010;NP_Client;University;Married;0;1;200;1;C;17/11/2011;Sales;Owned;1;;C;;;
3124;0;Non Existing Client;02/10/1981;08/09/2011;NP_Client;University;Married;1;1;36;1;C;11/09/2011;Sales;Owned;1;;B;;;
1337;1;Existing Client;26/04/1981;22/05/2011;NP_Client;Master/PhD;Single;0;15;20;1;C;28/07/2011;Sales;Owned;1;16/05/2013;C;;;
6444;0;Existing Client;04/10/1985;10/01/2012;NP_Client;University;Single;0;10;60;5;C;19/01/2012;Sales;Owned;1;;K;;;
3872;1;Existing Client;04/12/1978;26/09/2011;NP_Client;Diploma;Married;1;32;18;8;C;05/10/2011;Branch;Owned;1;30/08/2012;L;;;
6471;0;Non Existing Client;05/01/1983;09/01/2012;NP_Client;University;Single;0;15;30;1;C;10/01/2012;Sales;Owned;1;;B;;;
1961;0;Existing Client;17/04/1968;08/04/2009;NP_Client;University;Married;2;15;30;1;C;11/08/2011;Sales;Owned;1;;B;;;
2009;0;Existing Client;10/03/1984;29/04/2010;P_Client;University;Single;0;20;60;3;C;15/08/2011;Sales;Owned;1;;L;;;
5409;0;Non Existing Client;12/10/1980;29/11/2011;NP_Client;University;Married;3;5;36;5;C;30/11/2011;Sales;Owned;1;;B;;;
2075;0;Existing Client;08/03/1982;12/12/2010;NP_Client;University;Married;1;15;30;1;G;01/08/2011;Sales;Owned;3;06/11/2012;C;;;
7557;0;Non Existing Client;19/11/1971;19/02/2012;NP_Client;University;Married;3;6;18;2;C;21/02/2012;Sales;Owned;1;;D;;;
6427;0;Non Existing Client;07/07/1955;02/01/2012;NP_Client;University;Married;3;10;25;1;C;11/01/2012;Sales;Owned;1;;B;;;
7713;0;Non Existing Client;20/09/1977;26/02/2012;NP_Client;University;Married;1;22;18;2;C;27/02/2012;Sales;Owned;2;;B;;;
1437;0;Non Existing Client;20/09/1974;05/07/2011;NP_Client;University;Married;0;10;18;2;C;06/07/2011;Sales;Owned;1;;B;;;
988;0;Non Existing Client;26/06/1974;19/06/2011;NP_Client;University;Married;3;1;20;1;C;20/06/2011;Sales;Owned;1;;B;;;
1837;0;Existing Client;03/07/1966;25/03/2001;NP_Client;University;Married;0;15;30;10;C;21/07/2011;Sales;Owned;1;;B;;;
8164;0;Non Existing Client;15/06/1987;27/02/2012;NP_Client;University;Single;0;20;6;2;C;01/03/2012;Sales;Owned;1;;B;;;
6760;0;Non Existing Client;13/10/1961;19/01/2012;NP_Client;University;Married;0;15;36;1;C;22/01/2012;Sales;Owned;1;;B;;;
2685;0;Existing Client;25/08/1955;15/01/2003;P_Client;University;Married;4;20;118,212;28;G;01/08/2011;Branch;Owned;1;;G;;;
7024;0;Existing Client;09/04/1956;06/04/2009;NP_Client;University;Married;2;56;50;10;G;21/02/2012;Sales;Owned;1;;B;;;
4459;0;Existing Client;19/10/1966;12/08/2002;NP_Client;University;Married;3;12;20;1;C;23/10/2011;Sales;Parents;1;;B;;;
682;1;Existing Client;21/02/1985;29/03/2011;NP_Client;University;Married;2;26;38,4;5;C;13/06/2011;Sales;Old rent;1;31/07/2012;L;;;
832;0;Non Existing Client;04/03/1953;07/06/2011;NP_Client;Master/PhD;Married;0;10;18;1;C;08/06/2011;Sales;Owned;1;;B;;;
3284;1;Non Existing Client;21/06/1967;15/09/2011;NP_Client;Master/PhD;Married;2;8;100;3;C;18/09/2011;Branch;Owned;1;12/12/2012;B;;;
6397;0;Non Existing Client;12/08/1949;03/01/2012;NP_Client;University;Married;0;12;18;2;C;05/01/2012;Sales;Owned;1;;B;;;
6170;0;Existing Client;22/10/1967;12/12/2011;NP_Client;University;Married;1;10;72;15;C;09/01/2012;Sales;Owned;1;;L;;;
5933;0;Existing Client;15/01/1967;02/07/2006;NP_Client;University;Married;0;15;30;1;C;19/12/2011;Sales;Owned;1;;B;;;
2265;0;Non Existing Client;29/06/1961;31/07/2011;NP_Client;Diploma;Married;1;10;50;3;C;01/08/2011;Branch;Owned;1;;B;;;
8464;0;Non Existing Client;31/12/1950;13/03/2012;NP_Client;University;Married;4;8;50;8;C;18/03/2012;Sales;Owned;1;;B;;;
6533;0;Non Existing Client;02/10/1972;10/01/2012;NP_Client;University;Married;1;1;36;1;C;11/01/2012;Sales;Owned;1;;B;;;
406;0;Non Existing Client;21/01/1968;22/05/2011;NP_Client;University;Married;0;12;18;12;C;23/05/2011;Sales;Owned;1;;B;;;
5125;0;Existing Client;18/07/1975;31/08/1999;P_Client;University;Married;3;2;235;12;G;24/11/2011;Branch;Owned;1;;G;;;
8849;0;Existing Client;12/05/1956;10/06/2007;NP_Client;Master/PhD;Widowed;1;20;360;11;G;01/04/2012;Branch;Owned;1;;C;;;
6200;1;Existing Client;01/07/1985;26/12/2011;NP_Client;University;Single;0;20;47,04;2;C;24/01/2012;Sales;Owned;1;31/03/2013;L;;;
8114;0;Non Existing Client;10/07/1979;23/02/2012;NP_Client;Master/PhD;Married;2;20;25;1;C;26/02/2012;Sales;Owned;1;;B;;;
8695;0;Non Existing Client;24/08/1979;25/03/2012;NP_Client;University;Married;3;11;18;2;C;26/03/2012;Sales;Owned;1;;B;;;
3824;0;Existing Client;15/01/1973;31/05/2011;NP_Client;University;Widowed;2;2;36;3;C;20/10/2011;Branch;Owned;1;;C;;;
9467;0;Non Existing Client;08/08/1978;19/04/2012;NP_Client;University;Married;1;10;36;11;C;22/04/2012;Sales;Owned;2;;B;;;
8113;0;Non Existing Client;20/04/1988;21/02/2012;NP_Client;University;Single;0;15;36;1;C;26/02/2012;Sales;Owned;2;;M;;;
1892;0;Existing Client;15/10/1975;30/07/2007;P_Client;Diploma;Married;2;35;20,304;12;C;09/08/2011;Branch;Owned;1;;H;;;
2986;1;Existing Client;05/03/1965;31/07/2011;NP_Client;University;Married;2;15;75;1;C;26/09/2011;Sales;Owned;1;30/04/2013;L;;;
7610;1;Non Existing Client;17/09/1983;20/02/2012;NP_Client;University;Single;0;20;24;1;G;21/02/2012;Branch;Parents;1;30/09/2012;B;;;
7651;0;Non Existing Client;23/04/1980;21/02/2012;NP_Client;University;Married;2;5;36;1;C;27/02/2012;Branch;Owned;1;27/08/2012;B;;;
5000;0;Non Existing Client;30/08/1963;17/11/2011;NP_Client;Master/PhD;Married;3;41;18;2;C;21/11/2011;Sales;Owned;2;05/03/2013;B;;;
3707;0;Existing Client;24/11/1947;16/04/2009;NP_Client;University;Married;0;10;36;10;C;19/10/2011;Sales;Owned;1;;B;;;
176;0;Existing Client;07/08/1982;27/04/2011;NP_Client;University;Married;0;5;36;5;C;03/05/2011;Sales;Owned;1;;L;;;
3245;0;Non Existing Client;16/07/1981;23/08/2011;NP_Client;University;Single;0;30;36;3;C;14/09/2011;Branch;Parents;1;;K;;;
1735;1;Non Existing Client;17/01/1963;17/07/2011;NP_Client;University;Married;2;52;20;1;C;21/07/2011;Branch;Owned;1;29/03/2012;B;;;
72;0;Existing Client;06/06/1975;19/03/2009;NP_Client;University;Married;2;15;18;15;C;05/05/2011;Sales;Owned;1;;B;;;
4273;0;Non Existing Client;08/08/1972;19/10/2011;NP_Client;University;Married;0;15;30;1;C;20/10/2011;Sales;Owned;1;;B;;;
8964;0;Existing Client;13/03/1975;23/01/2011;NP_Client;Master/PhD;Married;5;2;84;9;G;27/03/2012;Branch;Owned;1;30/05/2013;C;;;
6560;0;Non Existing Client;07/01/1964;06/12/2011;NP_Client;University;Married;0;15;36;15;G;12/01/2012;Sales;Owned;1;;B;;;
2145;0;Existing Client;06/08/1957;20/06/2011;NP_Client;Master/PhD;Married;2;20;50;10;G;15/08/2011;Sales;Owned;1;;C;;;
4686;0;Non Existing Client;24/11/1980;13/11/2011;NP_Client;University;Married;0;15;30;1;C;17/11/2011;Sales;Owned;1;;M;;;
7856;0;Existing Client;23/08/1982;24/01/2008;NP_Client;University;Married;0;15;36;1;C;28/02/2012;Sales;Owned;1;;B;;;
4975;0;Non Existing Client;19/02/1983;26/10/2011;NP_Client;University;Married;0;1;36;1;G;16/11/2011;Sales;Owned;1;;C;;;
3810;0;Existing Client;16/11/1968;17/04/2011;NP_Client;University;Married;3;1;36;1;C;23/10/2011;Sales;Owned;1;;B;;;
9002;0;Existing Client;20/07/1973;30/01/2012;NP_Client;University;Married;0;10;78,72;10;C;11/04/2012;Sales;Owned;1;;L;;;
126;0;Existing Client;07/04/1975;19/07/2010;NP_Client;Master/PhD;Married;1;4;200;10;C;23/05/2011;Branch;Owned;1;;B;;;
708;1;Existing Client;03/06/1966;18/05/2011;NP_Client;University;Married;1;15;25,5;3;C;26/06/2011;Branch;Owned;1;13/01/2013;L;;;
7974;0;Existing Client;20/01/1985;18/08/2010;P_Client;University;Married;1;27;18,024;2;C;22/03/2012;Branch;Old rent;1;;G;;;
2747;0;Existing Client;27/10/1968;19/03/2006;NP_Client;University;Married;0;10;50;10;G;29/08/2011;Sales;Owned;1;;C;;;
8654;0;Non Existing Client;29/11/1979;22/03/2012;NP_Client;University;Single;0;15;36;1;C;25/03/2012;Sales;Owned;1;;B;;;
3777;0;Existing Client;01/01/1968;23/09/2010;NP_Client;Master/PhD;Married;1;15;20;1;C;20/10/2011;Sales;Owned;1;;C;;;
4775;1;Existing Client;06/03/1987;31/10/2011;NP_Client;University;Married;0;15;30;3;C;22/11/2011;Sales;Old rent;1;29/11/2012;L;;;
3797;0;Existing Client;15/03/1948;27/01/2011;NP_Client;Master/PhD;Married;3;25;18;2;G;09/10/2011;Sales;Old rent;1;;C;;;
3852;0;Non Existing Client;30/10/1986;04/10/2011;NP_Client;University;Married;2;4;20;2;C;05/10/2011;Branch;Owned;1;;B;;;
4194;0;Non Existing Client;16/11/1979;16/10/2011;NP_Client;University;Married;2;22;18;2;C;17/10/2011;Sales;Owned;1;;B;;;
7110;0;Existing Client;12/11/1987;28/08/2011;NP_Client;University;Single;0;10;50;1;C;31/01/2012;Branch;Owned;1;;J;;;
325;0;Non Existing Client;12/10/1955;10/05/2011;NP_Client;Master/PhD;Married;4;15;36;1;C;17/05/2011;Sales;Owned;1;;D;;;
5016;0;Non Existing Client;28/09/1988;21/11/2011;NP_Client;University;Single;0;23;18;1;C;22/11/2011;Sales;Owned;1;26/05/2013;B;;;
6122;0;Existing Client;01/01/1965;10/08/2011;P_Client;University;Married;2;10;105,818;23;G;23/12/2011;Branch;Owned;1;;G;;;
4469;0;Existing Client;19/11/1965;02/07/2002;NP_Client;University;Married;0;10;36;3;C;27/10/2011;Sales;Owned;1;;B;;;
7428;0;Non Existing Client;17/08/1976;13/02/2012;NP_Client;University;Married;3;3;108;3;C;20/02/2012;Sales;Owned;1;;B;;;
6124;0;Existing Client;23/10/1979;17/08/2011;P_Client;University;Married;2;32;18;2;C;18/01/2012;Sales;Owned;1;;G;;;
4911;0;Non Existing Client;01/08/1984;10/11/2011;NP_Client;University;Married;2;3;3,48;0;C;16/11/2011;Branch;New rent;1;27/05/2013;B;;;
5321;0;Existing Client;17/01/1966;02/11/2011;NP_Client;Master/PhD;Married;2;20;50;11;G;28/12/2011;Sales;Owned;1;;C;;;
3808;0;Existing Client;22/11/1969;12/04/2011;NP_Client;University;Married;1;10;36;3;G;10/10/2011;Sales;Owned;1;;C;;;
8962;0;Existing Client;18/03/1971;02/01/2011;NP_Client;University;Married;0;1;36;1;C;28/03/2012;Sales;Owned;1;;B;;;
8700;0;Non Existing Client;09/02/1959;25/03/2012;NP_Client;University;Married;0;15;36;1;C;26/03/2012;Sales;Owned;1;;B;;;
2581;0;Non Existing Client;11/08/1966;21/08/2011;NP_Client;University;Married;2;20;36;1;C;22/08/2011;Sales;Owned;1;;B;;;
1828;0;Existing Client;14/04/1968;07/10/1991;NP_Client;University;Married;2;8;18;20;C;20/07/2011;Sales;Owned;1;;B;;;
2897;0;Existing Client;05/01/1975;20/07/2010;NP_Client;University;Single;0;1;36;1;C;28/09/2011;Sales;Owned;1;12/08/2012;B;;;
9258;0;Non Existing Client;23/03/1963;04/04/2012;NP_Client;University;Married;0;2;18;2;C;08/04/2012;Sales;Owned;1;;B;;;
2024;0;Existing Client;25/09/1966;24/06/2010;NP_Client;Master/PhD;Married;3;22;18;1;C;09/08/2011;Sales;Owned;1;;C;;;
6799;0;Non Existing Client;12/04/1989;22/01/2012;NP_Client;University;Single;0;23;24;1;C;24/01/2012;Branch;New rent;1;;B;;;
8502;0;Non Existing Client;02/02/1974;14/03/2012;NP_Client;University;Married;2;10;36;3;C;15/03/2012;Sales;Owned;1;;B;;;
9586;0;Existing Client;27/09/1964;04/04/2004;NP_Client;University;Married;2;20;117,924;2;G;29/03/2012;Branch;Old rent;1;;G;;;
6385;0;Non Existing Client;09/11/1973;02/01/2012;NP_Client;University;Married;0;7;18;2;C;11/01/2012;Sales;Owned;1;;D;;;
569;0;Existing Client;20/06/1984;22/01/2009;P_Client;University;Single;0;27;33,6;2;C;07/06/2011;Branch;Owned;2;27/02/2012;G;;;
5226;0;Existing Client;13/03/1983;24/12/2009;P_Client;University;Single;0;20;90;6;G;06/12/2011;Branch;Owned;1;;G;;;
2666;0;Non Existing Client;27/11/1983;15/08/2011;NP_Client;University;Married;0;10;36;1;C;25/08/2011;Sales;Owned;2;;B;;;
6399;0;Non Existing Client;02/11/1979;02/01/2012;NP_Client;University;Single;0;32;25;1;G;12/01/2012;Sales;Old rent;1;;B;;;
